"company_id","transaction_id","close","large_dip","date_published","industry_id","pb_ratio","pc_ratio","pe_ratio","ps_ratio","discount_percentile","institution_held","insider_held","return_on_assets","return_on_equity","total_debt_equity","current_ratio","market_cap","recovered"
44,2866206,15.85,t,"2019-08-06 00:00:00",32,2.18019257221458,8.43085106382979,10.4276315789474,0.660416666666667,0.186541737649063,94.61,5.86,8.3,21.48,131.68,1.34,2970000000,t
44,2926870,15.05,t,"2019-08-15 00:00:00",32,2.07015130674003,8.00531914893617,9.90131578947368,0.627083333333333,0.11839863713799,94.61,5.86,8.3,21.48,131.68,1.34,2970000000,t
44,3065898,14.38,t,"2019-09-05 00:00:00",32,1.97799174690509,7.64893617021277,9.46052631578947,0.599166666666667,0.061328790459966,94.61,5.86,8.3,21.48,131.68,1.34,2970000000,t
53,2024233,42.16,t,"2018-12-21 00:00:00",37,0.62850327966607,7.1336717428088,5.63636363636364,1.21638776687825,0.275482093663912,99.01,12.23,3.75,12.12,321.41,1.04,7460000000,t
68,2047910,3.18,t,"2018-12-14 00:00:00",31,0.470414201183432,6.23529411764706,-45.4285714285714,1.95092024539877,0.0573770491803279,65.56,0.27,1.14,-0.9,0.08,2.9,2700000000,t
68,2078733,3.19,t,"2018-11-28 00:00:00",31,0.47189349112426,6.25490196078431,-45.5714285714286,1.95705521472393,0.0594262295081967,65.56,0.27,1.14,-0.9,0.08,2.9,2700000000,t
68,2127375,3.49,t,"2018-11-13 00:00:00",31,0.516272189349112,6.84313725490196,-49.8571428571429,2.14110429447853,0.120901639344262,65.56,0.27,1.14,-0.9,0.08,2.9,2700000000,t
68,2135666,3.79,t,"2018-11-09 00:00:00",31,0.560650887573965,7.43137254901961,-54.1428571428571,2.32515337423313,0.182377049180328,65.56,0.27,1.14,-0.9,0.08,2.9,2700000000,t
68,2152825,3.87,t,"2018-11-03 00:00:00",31,0.572485207100592,7.58823529411765,-55.2857142857143,2.37423312883436,0.198770491803279,65.56,0.27,1.14,-0.9,0.08,2.9,2700000000,t
68,2393685,4.28,t,"2018-08-17 00:00:00",31,0.633136094674556,8.3921568627451,-61.1428571428571,2.62576687116564,0.282786885245902,65.56,0.27,1.14,-0.9,0.08,2.9,2700000000,t
